a_p,race,gender,activity_level= 0_Mean,activity_level= 1_Mean,activity_level= 2_Mean,activity_level= 3_Mean,alc_freq= 0_Mean,alc_freq= 1_Mean,alc_freq= 2_Mean,alc_freq= 3_Mean,alc_freq= 4_Mean,alc_freq= 5_Mean,avg_drinks_pday_pstyr=1_Mean,avg_drinks_pday_pstyr=2_Mean,avg_drinks_pday_pstyr=3_Mean,avg_drinks_pday_pstyr=4_Mean,avg_drinks_pday_pstyr=NA_Mean,cholesterol_mg= 0_Mean,cholesterol_mg= 1_Mean,cholesterol_mg= 2_Mean,cholesterol_mg= 3_Mean,cholesterol_mg= 4_Mean,current_smkr=0_Mean,current_smkr=1_Mean,current_smkr=2_Mean,current_smkr=3_Mean,current_smkr=NA_Mean,diabetes= 0_Mean,diabetes= 1_Mean,diabetes= 2_Mean,drinks_perwk_pstyr=1_Mean,drinks_perwk_pstyr=2_Mean,drinks_perwk_pstyr=3_Mean,drinks_perwk_pstyr=4_Mean,drinks_perwk_pstyr=NA_Mean,ever_5_or_more_drinks_a_day=0_Me,ever_5_or_more_drinks_a_day=1_Me,ever_5_or_more_drinks_a_day=2_Me,ever_5_or_more_drinks_a_day=3_Me,ever_5_or_more_drinks_a_day=NA_M,thyroid_d= 0_Mean,thyroid_d= 1_Mean,thyroid_d= 2_Mean,fiber_g=0_Mean,fiber_g=1_Mean,fiber_g=2_Mean,fiber_g=NA_Mean,fruits_veggies_pmo= 0_,fruits_veggies_pmo= 1_,fruits_veggies_pmo= 2_,fruits_veggies_pmo= 3_,fruits_veggies_pmo= 4_,hepA_vacc=0_Mean,hepA_vacc=1_Mean,hepA_vacc=2_Mean,hepA_vacc=3_Mean,hepA_vacc=NA_Mean,hepB_vacc=0_Mean,hepB_vacc=1_Mean,hepB_vacc=2_Mean,hepB_vacc=3_Mean,hepB_vacc=NA_Mean,home_smokers=0_Mean,home_smokers=1_Mean,home_smokers=2_Mean,home_smokers=3_Mean,home_smokers=NA_Mean,meat_freq_pmo= 0_Mean,meat_freq_pmo= 1_Mean,meat_freq_pmo= 2_Mean,meat_freq_pmo= 3_Mean,meat_freq_pmo= 4_Mean,meat_freq_pmo= 5_Mean,protein= 0_Mean,protein= 1_Mean,protein= 2_Mean,protein= 3_Mean,protein= 4_Mean,sat_fatty_acid=0_Mean,sat_fatty_acid=1_Mean,sat_fatty_acid=2_Mean,sat_fatty_acid=3_Mean,sat_fatty_acid=4_Mean,sat_fatty_acid=NA_Mean,still_thyroid_d=0_Mean,still_thyroid_d=1_Mean,still_thyroid_d=2_Mean,still_thyroid_d=3_Mean,still_thyroid_d=NA_Mean,period,rate,age_grp,count,pop
15,1,0,7.9177999999999998E-2,.254973,.665849,0,9.2048000000000005E-2,1.6417999999999999E-2,.482602,.148382,.260551,0,0,0,0,0,1,0,.175788,.183176,.260425,.38061,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,8.0160000000000006E-3,6.4229999999999999E-3,.157428,.782208,4.5925000000000001E-2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,8.3020999999999998E-2,.871054,4.5925000000000001E-2,0,2.5194999999999999E-2,.182235,.228306,.564264,0.008016,0.113564,0.081444,0.429501,0.35538,0.012095,0,0,0,0,1,0,3.825802,1,13,339798
15,2,0,4.6753999999999997E-2,.356336,.596911,0,0,.261975,.738025,0,0,0,0,0,0,0,1,0,4.1034000000000001E-2,0,.689444,.269521,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4.1034000000000001E-2,.562807,.396159,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,.439728,.164113,.396159,0,.238977,.396159,4.1034000000000001E-2,.32383,0,0,0.67617,0.159717,0.164113,0,0,0,0,0,1,,,,,
15,0,1,6.9447999999999996E-2,.444226,.486326,0,.174756,.194054,.450793,.136707,4.0857999999999998E-2,2.833E-3,0,0,0,0,1,0,.274772,.273458,.239166,.212604,0,0,0,0,1,0.991686,0.008314,0,0,0,0,0,1,0,0,0,0,1,0.918325,0.055753,0.025922,0,0,0,1,3.3599999999999998E-4,3.7500000000000001E-4,5.8088000000000001E-2,.936442,4.7590000000000002E-3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3.1250000000000002E-3,0,.139849,.85246,4.5659999999999997E-3,1.029E-3,.22866,.314194,.254866,.20125,0.001029,0.231925,0.317293,0.260068,0.185996,0.003689,0,0,0,0,1,0,3.569964,1,117,3277344
15,1,1,5.5480000000000002E-2,.404246,.540274,0,.292862,6.9732000000000002E-2,.398586,.189393,4.9425999999999998E-2,0,0,0,0,0,1,0,.343859,.199733,.209739,.246668,0,0,0,0,1,0.990208,0.009792,0,0,0,0,0,1,0,0,0,0,1,0.973006,0.010841,0.016153,0,0,0,1,0,2.7656E-2,.151018,.762173,5.9152999999999997E-2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,9.6264000000000002E-2,.851714,5.2023E-2,0,.365383,.247586,.214907,.172124,0.008326,0.350947,0.315929,0.201497,0.115312,0.00799,0,0,0,0,1,0,3.587802,1,14,390211
15,2,1,5.6209000000000002E-2,.275709,.668081,0,.303495,0,.451089,.245415,0,0,0,0,0,0,1,0,5.4556E-2,.389283,.298556,.257605,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1.4055E-2,.936957,4.8987000000000003E-2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.4055E-2,.936957,4.8987000000000003E-2,0,1.7472000000000001E-2,.341099,.25797,.383459,0,0.09198,0.497653,0.312708,0.097658,0,0,0,0,0,1,,,,,
16,0,0,7.9115000000000005E-2,.732025,.188861,0,.235383,.162625,.432912,.169081,0,0,0,0,0,0,1,.,.,.,.,.,0.217172,0.440402,0.342426,0,0,0.995364,0.004636,0,0,0,0,0,1,0,0,0,0,1,0.99137,0,0.00863,0,0,0,1,0,7.2690000000000003E-3,.13816,.854571,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2.2626E-2,7.0800000000000004E-3,0,.356576,.613718,0,0,6.7141999999999993E-2,.127647,.208199,.597013,0.001514,0.097204,0.139063,0.208693,0.553526,0,0,0,0,0,1,1,2.593779,1,100,3855379
16,1,0,.245804,.588287,.165909,0,.159215,.163175,.535279,.142331,0,0,0,0,0,0,1,.,.,.,.,.,0.134473,0.636062,0.229465,0,0,0.97129,0.02871,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,.230266,.769734,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5.8259999999999996E-3,2.2998000000000001E-2,0,.346217,.624959,0,0,.112468,.188391,.212404,.486737,0,0.071657,0.142185,0.322014,0.464144,0,0,0,0,0,1,1,5.982425,1,27,451322
16,2,0,.240379,.504216,.255405,0,7.0157999999999998E-2,.388646,.289002,.252193,0,0,0,0,0,0,1,.,.,.,.,.,0.107644,0.475251,0.417105,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,.108628,.891372,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5.8063999999999998E-2,0,.461279,.480657,0,0,.108946,.126037,.130039,.634978,0,0.12704,0.032926,0.42672,0.413314,0,0,0,0,0,1,,,,,
16,0,1,.151824,.755939,9.2237E-2,0,.562043,.26542,.159726,1.2810999999999999E-2,0,0,0,0,0,0,1,.,.,.,.,.,0.131629,0.355413,0.512957,0,0,0.988263,0.011737,0,0,0,0,0,1,0,0,0,0,1,0.934418,0,0.065582,0,0,0,1,2.5249999999999999E-3,1.2539E-2,8.8009000000000004E-2,.896927,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1.2800000000000001E-2,1.1257E-2,0,.501097,.472945,1.9009999999999999E-3,0,.315097,.285269,.235169,.164464,0.005014,0.281847,0.256554,0.304834,0.151751,0,0,0,0,0,1,1,2.794577,1,107,3828844
16,1,1,.348147,.477804,.17405,0,.539275,.200114,.210048,5.0562999999999997E-2,0,0,0,0,0,0,1,.,.,.,.,.,0.049515,0.383123,0.567362,0,0,0.984354,0.015646,0,0,0,0,0,1,0,0,0,0,1,0.967235,0,0.032765,0,0,0,1,0,2.2855E-2,.205761,.771384,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1.404E-2,0,0,.487048,.498912,0,0,.296823,.343939,.288725,7.0513000000000006E-2,0,0.296314,0.334214,0.251992,0.11748,0,0,0,0,0,1,1,3.660513,1,19,519053
16,2,1,.47638,.420387,.103233,0,.896767,.103233,0,0,0,0,0,0,0,0,1,.,.,.,.,.,0,0.432687,0.567313,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8.5712999999999998E-2,.914287,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,.453663,.546337,0,0,.245291,.203766,.438586,.112357,0,0.284467,0.259396,0.294109,0.162027,0,0,0,0,0,1,,,,,
17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.057908,1,129,4218571
17,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.444707,1,13,531761
17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.454418,1,102,4155771
17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.102982,1,25,609313
